Country,FDI_Value
Australia,49595.23115016936
Austria,59204.692562988945
Belgium,143936.32104309497
Bermuda,23068.057426857704
Brazil,27505.665555411768
British Virgin Islands,46266.981599223625
Canada,105853.23565895786
Cayman Islands,16552.913670478705
Chile,13337.678155101985
China,82724.48450810756
Cyprus,21455.361705726344
Czechia,12332.482593300438
Denmark,19752.283334155756
Finland,24256.43123350915
France,173148.33538519213
Germany,178270.21275561815
Gibraltar,27436.895886706254
"Hong Kong, China",85317.56224869116
Hungary,20536.518877144572
India,11691.11047781162
Ireland,67355.10002934828
Italy,120788.46652125788
Japan,72438.73222546167
Luxembourg,299734.10286735557
Malaysia,24887.090474207173
Mexico,30204.238623068493
Netherlands,328962.2821979524
Norway,20283.84152236486
Poland,21905.71498350008
Republic of Korea,12842.678147602901
Russian Federation,55459.35674602356
Saudi Arabia,12709.079084572308
Singapore,54521.767574555415
Spain,144965.40576012418
Sweden,58070.342851507434
Switzerland,70302.06174053748
Taiwan Province of China,15615.72518786639
TÃ¼rkiye,15310.757466838302
United Kingdom,327456.43809794664
United States,495044.95305973315
